veracity,claims
0,"The man who killed the Uvalde, Texas, school shooter wasn’t even an on-duty police officer."
0,The government gives you your credit score.
0,Bill Gates planned a smallpox-type outbreak.
0,allegedly shows pallets of boxes containing baby formula at the U.S. southern border.
0,"Active shooter drill at high school in Uvalde, Texas, two months before the elementary school shooting shows the event was a false flag."
0,"“Is ANYONE asking how Ron DeSantis was worth $340,000 in 2020 and is now worth $52 million?”"
0,"“Kari Lake has been appearing at rallies with neo-Nazis,” while “two federal juries have found” Katie Hobbs “guilty of racial discrimination.”"
0," “If you wanted to kill a bunch of MAGA voters in the middle of the heartland, how better than to target them and their kids with this deadly fentanyl? … It does look intentional.”"
1,“We produced more oil domestically in my first year in office than my predecessor did in his first year.”
0,Australia’s 2021 official death statistics provide evidence COVID-19 vaccines have caused thousands of excess deaths.
0,"“In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.”"
0," claims the U.S. military raided and subsequently destroyed a Moderna vaccine warehouse in Kansas City, Missouri."
0,The Biden administration has been “recklessly releasing potentially dangerous Afghans into our communities.”
1,"40 percent of baby formula products are out of stock in the United States, forcing some mothers to drive hours away to find the necessary product."
0,“When President Biden took office … there was no [COVID-19] vaccine available.”
0,Quebec passed bill eliminating parental primacy and increasing government power to make decisions regarding children.
0,Says the Biden administration is choosing to send baby formula to the border as one of its “out-of-touch priorities.”
0,Official Study Concludes That Masks Caused More COVID.
1,“Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.”
1,Trump Vowed SCOTUS Picks Would End Roe v. Wade.
0,claims former Republican South Carolina Rep. Trey Gowdy attended the premiere of conservative filmmaker Dinesh D’Souza’s film “2000 Mules” at former President Donald Trump’s Mar-A-Lago residence.
0,Polish Armed Forces Wrote Letter Announcing Plan To Send ‘Airborne Units’ To Ukraine
1,Joe Biden “inherited inflation of 1.7%. Now we’re well over 8% and growing.”
0,claims Pfizer Vice President Rady Johnson was arrested by federal agents and charged with multiple counts of fraud.
0,Climate change is not real as Arctic circle was warmer than present 6000 years ago.
0,"Biden, Soros, Obama Are Planning A New World Order Conspiracy."
0,Scientists have found a cause of SIDS.
0, There is a pending case against me (Rodrigo Duterte) before the International Court of Justice.
0,"State Sen. Kirk deViere voted against Medicaid expansion, the governor’s budget and teacher raises."
0,claims chemicals in sunscreen products cause cancer while the sun does not.
0,“Just released” Pfizer documents show the Pfizer COVID-19 vaccine is “12% effective.”
0,A township electric vehicle charging station is powered with a diesel generator.
0,Says she never tweeted comments linking pedophilia and Islam.
0,Claims Queen Elizabeth II disparaged Filipinos while congratulating Ferdinand “BongBong” Marcos Jr. for winning the country’s presidential election.
0,“The vast majority of individuals that we’re releasing out (border) are not showing up for hearings.”
0,Bibles are not allowed in schools but are encouraged in prisons.
0,"“When unemployment goes down, inflation goes up.”"
1,U.S. deaths from COVID-19 hit 1 million.
0,A reporter who covered the Buffalo supermarket shooting was a “crisis actor.”
1,"Scott Morrison’s salary has risen from $140,000 to $550,000 in the past decade."
0,The problem with mail ballots in Lancaster County is a sign of “voter fraud.”
0, allegedly shows a tweet from 
0,"“We have 76% of Americans living paycheck to paycheck, meaning they are one paycheck away from poverty.”"
